'sample interval','ABPmean','ABPsys','ABPdias','HR','PAPmean','PAPsys','PAPdias','PULSE','RESP','SpO2'
'1.024 sec','mmHg','mmHg','mmHg','bpm','mmHg','mmHg','mmHg','bpm','bpm','%'
0,60.000,93.000,46.000,80.000,19.000,29.000,9.000,0.000,12.000,0.000
1,60.000,93.000,46.000,80.000,18.000,28.000,8.000,0.000,12.000,0.000
2,60.000,93.000,46.000,80.000,18.000,28.000,8.000,0.000,12.000,0.000
3,60.000,93.000,46.000,80.000,18.000,27.000,8.000,0.000,14.000,0.000
4,60.000,93.000,46.000,80.000,18.000,28.000,8.000,0.000,14.000,0.000
5,60.000,93.000,46.000,80.000,18.000,28.000,8.000,0.000,14.000,0.000
6,60.000,93.000,46.000,80.000,18.000,27.000,8.000,0.000,14.000,0.000
7,60.000,93.000,46.000,80.000,17.000,26.000,8.000,0.000,14.000,0.000
8,60.000,93.000,46.000,80.000,18.000,27.000,8.000,0.000,14.000,0.000
9,60.000,93.000,46.000,79.000,18.000,27.000,8.000,0.000,14.000,0.000
10,60.000,93.000,46.000,79.000,18.000,27.000,8.000,0.000,14.000,0.000
11,60.000,93.000,46.000,79.000,18.000,27.000,8.000,0.000,14.000,0.000
12,60.000,93.000,46.000,79.000,18.000,27.000,8.000,0.000,14.000,0.000
13,60.000,93.000,46.000,79.000,18.000,28.000,9.000,0.000,14.000,0.000
14,60.000,93.000,46.000,79.000,18.000,28.000,9.000,0.000,14.000,0.000
15,60.000,93.000,46.000,79.000,18.000,28.000,8.000,0.000,14.000,0.000
16,60.000,93.000,46.000,79.000,18.000,27.000,8.000,0.000,14.000,0.000
17,60.000,93.000,46.000,79.000,18.000,27.000,8.000,0.000,14.000,0.000
18,60.000,93.000,46.000,80.000,18.000,28.000,9.000,0.000,14.000,0.000
19,60.000,93.000,46.000,80.000,18.000,28.000,8.000,0.000,14.000,0.000
20,60.000,93.000,46.000,80.000,18.000,27.000,8.000,0.000,14.000,0.000
21,60.000,93.000,46.000,80.000,18.000,29.000,9.000,0.000,14.000,0.000
22,60.000,93.000,46.000,80.000,18.000,29.000,9.000,0.000,14.000,0.000
23,60.000,93.000,46.000,80.000,18.000,28.000,9.000,0.000,14.000,0.000
24,60.000,93.000,46.000,80.000,18.000,28.000,9.000,0.000,14.000,0.000
25,60.000,93.000,46.000,80.000,18.000,29.000,9.000,0.000,14.000,0.000
26,61.000,94.000,46.000,80.000,18.000,29.000,9.000,0.000,16.000,0.000
27,61.000,94.000,46.000,80.000,19.000,29.000,9.000,0.000,16.000,0.000
28,61.000,94.000,46.000,80.000,18.000,29.000,9.000,0.000,16.000,0.000
29,61.000,94.000,47.000,80.000,19.000,29.000,10.000,0.000,16.000,0.000
30,61.000,94.000,47.000,80.000,19.000,29.000,10.000,0.000,16.000,0.000
31,61.000,94.000,47.000,80.000,18.000,27.000,8.000,0.000,16.000,0.000
32,62.000,95.000,47.000,80.000,18.000,27.000,8.000,0.000,16.000,0.000
33,62.000,95.000,47.000,80.000,18.000,27.000,8.000,0.000,16.000,0.000
34,62.000,95.000,47.000,81.000,18.000,27.000,8.000,0.000,16.000,0.000
35,62.000,95.000,47.000,81.000,18.000,27.000,8.000,0.000,16.000,0.000
36,61.000,95.000,47.000,81.000,18.000,27.000,9.000,0.000,16.000,0.000
37,62.000,95.000,47.000,81.000,18.000,27.000,8.000,0.000,19.000,0.000
38,62.000,95.000,47.000,82.000,19.000,29.000,9.000,0.000,18.000,0.000
39,62.000,95.000,47.000,82.000,18.000,29.000,9.000,0.000,21.000,0.000
40,62.000,95.000,47.000,82.000,18.000,29.000,9.000,0.000,21.000,0.000
41,61.000,95.000,47.000,82.000,18.000,29.000,9.000,0.000,22.000,0.000
42,61.000,95.000,47.000,82.000,18.000,29.000,9.000,0.000,22.000,0.000
43,61.000,95.000,47.000,82.000,18.000,28.000,9.000,0.000,25.000,0.000
44,61.000,95.000,47.000,81.000,18.000,28.000,8.000,0.000,25.000,0.000
45,61.000,95.000,47.000,81.000,18.000,28.000,8.000,0.000,25.000,0.000
46,62.000,95.000,47.000,81.000,19.000,29.000,8.000,0.000,24.000,0.000
47,62.000,96.000,47.000,81.000,18.000,28.000,8.000,0.000,23.000,0.000
48,62.000,96.000,47.000,81.000,18.000,28.000,8.000,0.000,22.000,0.000
49,62.000,96.000,47.000,81.000,19.000,29.000,9.000,0.000,22.000,0.000
50,62.000,96.000,48.000,81.000,19.000,29.000,9.000,0.000,22.000,0.000
51,62.000,96.000,48.000,81.000,18.000,28.000,8.000,0.000,22.000,0.000
52,62.000,97.000,48.000,81.000,18.000,28.000,8.000,0.000,22.000,0.000
53,62.000,97.000,48.000,82.000,18.000,28.000,7.000,0.000,22.000,0.000
54,63.000,97.000,48.000,82.000,18.000,28.000,7.000,0.000,22.000,0.000
55,61.000,97.000,48.000,82.000,18.000,28.000,8.000,0.000,22.000,0.000
56,62.000,98.000,47.000,82.000,18.000,28.000,8.000,0.000,22.000,0.000
57,62.000,97.000,47.000,82.000,18.000,28.000,8.000,0.000,22.000,0.000
58,62.000,97.000,47.000,82.000,19.000,29.000,9.000,0.000,22.000,0.000
59,61.000,95.000,47.000,82.000,19.000,29.000,8.000,0.000,22.000,0.000
60,62.000,96.000,47.000,82.000,19.000,29.000,8.000,0.000,22.000,0.000
61,62.000,96.000,47.000,82.000,18.000,28.000,8.000,0.000,19.000,0.000
62,62.000,96.000,47.000,82.000,18.000,28.000,8.000,0.000,19.000,0.000
63,62.000,96.000,47.000,82.000,18.000,28.000,8.000,0.000,19.000,0.000
64,62.000,96.000,47.000,82.000,18.000,28.000,8.000,0.000,19.000,0.000
65,61.000,96.000,47.000,82.000,18.000,28.000,8.000,0.000,18.000,0.000
66,61.000,97.000,46.000,82.000,17.000,27.000,9.000,0.000,18.000,0.000
67,61.000,96.000,46.000,82.000,18.000,28.000,9.000,0.000,18.000,0.000
68,61.000,96.000,46.000,79.000,18.000,28.000,9.000,0.000,18.000,0.000
69,61.000,95.000,46.000,82.000,18.000,29.000,9.000,0.000,17.000,0.000
70,62.000,96.000,47.000,82.000,19.000,29.000,9.000,0.000,17.000,0.000
71,62.000,96.000,47.000,82.000,19.000,29.000,9.000,0.000,17.000,0.000
72,62.000,96.000,47.000,82.000,19.000,29.000,9.000,0.000,17.000,0.000
73,62.000,96.000,47.000,82.000,19.000,29.000,9.000,0.000,17.000,0.000
74,62.000,96.000,48.000,82.000,18.000,28.000,9.000,0.000,15.000,0.000
75,62.000,96.000,48.000,82.000,18.000,28.000,9.000,0.000,15.000,0.000
76,62.000,96.000,48.000,82.000,18.000,28.000,8.000,0.000,16.000,0.000
77,63.000,97.000,48.000,82.000,18.000,28.000,8.000,0.000,17.000,0.000
78,63.000,96.000,48.000,80.000,18.000,28.000,8.000,0.000,17.000,0.000
79,63.000,97.000,48.000,83.000,18.000,28.000,8.000,0.000,17.000,0.000
