'sample interval','ABPmean','ABPsys','ABPdias','HR','PULSE','RESP','SpO2'
'1.024 sec','mmHg','mmHg','mmHg','bpm','bpm','bpm','%'
0,85.000,123.000,61.000,74.000,74.000,12.000,95.000
1,85.000,123.000,61.000,74.000,74.000,12.000,95.000
2,85.000,123.000,60.000,74.000,73.000,12.000,95.000
3,85.000,123.000,60.000,74.000,73.000,12.000,95.000
4,85.000,123.000,60.000,74.000,73.000,12.000,95.000
5,85.000,123.000,60.000,74.000,73.000,12.000,95.000
6,85.000,123.000,60.000,74.000,73.000,12.000,95.000
7,85.000,123.000,60.000,74.000,73.000,12.000,95.000
8,85.000,122.000,60.000,74.000,73.000,12.000,95.000
9,85.000,123.000,60.000,74.000,73.000,12.000,95.000
10,85.000,123.000,60.000,74.000,73.000,12.000,95.000
11,85.000,122.000,60.000,74.000,73.000,12.000,95.000
12,85.000,122.000,60.000,74.000,73.000,12.000,95.000
13,84.000,122.000,60.000,74.000,73.000,12.000,95.000
14,85.000,122.000,60.000,74.000,73.000,12.000,95.000
15,84.000,122.000,60.000,74.000,73.000,12.000,95.000
16,84.000,122.000,60.000,74.000,73.000,12.000,95.000
17,84.000,122.000,60.000,74.000,73.000,12.000,95.000
18,0.000,0.000,0.000,74.000,73.000,0.000,95.000
19,0.000,0.000,0.000,74.000,73.000,0.000,95.000
20,0.000,0.000,0.000,0.000,73.000,0.000,95.000
21,0.000,0.000,0.000,0.000,73.000,0.000,95.000
22,0.000,0.000,0.000,0.000,73.000,0.000,95.000
23,0.000,0.000,0.000,0.000,73.000,0.000,95.000
24,0.000,0.000,0.000,0.000,73.000,0.000,95.000
25,0.000,0.000,0.000,0.000,74.000,0.000,95.000
26,0.000,0.000,0.000,0.000,74.000,0.000,95.000
27,0.000,0.000,0.000,0.000,74.000,0.000,95.000
28,94.000,94.000,94.000,0.000,74.000,0.000,95.000
29,84.000,123.000,60.000,0.000,74.000,0.000,95.000
30,84.000,121.000,59.000,0.000,74.000,0.000,95.000
31,84.000,121.000,59.000,0.000,73.000,0.000,95.000
32,84.000,121.000,59.000,0.000,73.000,0.000,95.000
33,84.000,121.000,59.000,0.000,73.000,0.000,95.000
34,84.000,121.000,60.000,0.000,73.000,0.000,95.000
35,84.000,121.000,60.000,0.000,73.000,19.000,95.000
36,84.000,121.000,60.000,74.000,73.000,19.000,95.000
37,84.000,121.000,60.000,74.000,73.000,18.000,95.000
38,85.000,122.000,60.000,74.000,73.000,18.000,95.000
39,85.000,122.000,60.000,74.000,73.000,18.000,95.000
40,85.000,123.000,60.000,74.000,73.000,18.000,95.000
41,85.000,123.000,60.000,74.000,73.000,18.000,95.000
42,85.000,123.000,60.000,74.000,73.000,18.000,95.000
43,85.000,124.000,61.000,74.000,73.000,16.000,95.000
44,85.000,124.000,61.000,74.000,73.000,16.000,95.000
45,85.000,123.000,60.000,74.000,73.000,16.000,95.000
46,85.000,123.000,60.000,74.000,73.000,16.000,95.000
47,85.000,123.000,60.000,74.000,73.000,16.000,95.000
